Filename,DefaultARI,DefaultF1_sk,DefaultF1_mat,UninformedARI,UninformedF1_sk,UninformedF1_mat,InformedARI,InformedF1_sk,InformedF1_mat
CastMetal1,0,0.237333333,0,0,0.253767464,0,0,0.271428571,0
CostaMadre1,0,0.241176471,0,0,0.258064516,0,0,0.270588235,0
KnuggetChase3,0,0.285714286,0,0,0.362406015,0,0,0.4,0
KungChi3,0,0.317241379,0,0,0.308891109,0,0,0.375,0
MeanWhile1,0,0.094339623,0,0,0.243493761,0,0,0.27184466,0
MegaWatt1,0,0.098113208,0,0,0.247720907,0,0,0.287179487,0
PieChart1,0,0.254545455,0,0,0.203193319,0,0,0.287128713,0
PieChart2,0,0.131868132,0,0,0.072109294,0,0,0.140659341,0
PieChart3,0,0.174380165,0,0,0.317870852,0,0,0.320937699,0
PizzaCutter1,0,0.272753169,0,0,0.186621191,0,0,0.289802023,0
PizzaCutter3,0,0.18362069,0,0,0.3112281,0,0,0.32,0
analcatdata_apnea1,0,0.183486239,0,0,0.22147651,0,0,0.249201278,0
analcatdata_apnea2,0,0.178571429,0,0,0.205980066,0,0,0.246835443,0
analcatdata_apnea3,0,0.168421053,0,0,0.171428571,0,0,0.222222222,0
analcatdata_challenger,0,0.285714286,0,0,0.148148148,0,0,0.298368298,0
analcatdata_chlamydia,0,0,0,0,0.202898551,0,0,0.24057971,0
analcatdata_lawsuit,0,0.043478261,0,0,0.17218543,0,0,0.176,0
analcatdata_neavote,0,0.117647059,0,0,0.105263158,0,0,0.222222222,0
annthyroid,0.328964457,0.450239234,0.392928934,0.718557221,0.535967579,0.44800885,0.612312706,0.620414673,0.44800885
appendicitis,0.073521851,0.30625,0.457142857,0.873748237,0.285714286,0.325581395,0.678739524,0.518936877,0.549019608
ar1,0,0.203463203,0,0,0.22,0,0,0.316450216,0
ar3,0,0.586666667,0,0,0.302307692,0,0,0.626666667,0
ar4,0,0.470967742,0,0,0.387486116,0,0,0.50952381,0
ar6,0,0.347384615,0,0,0.302750583,0,0,0.387384615,0
arsenic-female-bladder,0.442180417,0.264705882,0.267942584,0.836976136,0.25,0.251968504,0.65628708,0.264705882,0.27480916
arsenic-female-lung,0.442180417,0.4,0.216216216,0.836976136,0.4,0.454545455,0.836976136,0.4,0.454545455
arsenic-male-bladder,0.351992876,0.325,0.184165142,0.841270377,0.35,0.373333333,0.841270377,0.35,0.373333333
arsenic-male-lung,0.351992876,0.376811594,0.159750065,0.841270377,0.376811594,0.40625,0.841270377,0.376811594,0.40625
backache,0,0.255813953,0,0,0.323478261,0,0,0.333913043,0
breastw,0,0.433905834,0,0.1,0.44809116,0,0.2,0.701479339,0
cardio,0.10258905,0.458232745,0.287784679,0.251719101,0.324786549,0.287784679,0.102604977,0.463286908,0.287784679
climate-model-simulation-crashes,0.01190595,0.116,0.003636364,0.008561146,0.12,0,0.008561146,0.12,0
datatrieve,0,0.208333333,0,0,0.236842105,0,0,0.27027027,0
fertility,0,0.145454545,0,0,0.251612903,0,0,0.24137931,0
flare,0,0.26697733,0,0,0.300132253,0,0,0.348765505,0
glass,0,0.012903226,0,0,0.155172414,0,0,0.136986301,0
ionosphere,0,0.437681159,0,0,0.76897758,0,0,0.892741935,0
kc3,0,0.323595506,0,0,0.294117647,0,0,0.339325843,0
letter,0,0.213076923,0,0.2,0.104749172,0,0,0.297692308,0
lungcancer_GSE31210,0,0.172413793,0,0,0.297297297,0,0,0.313701587,0
lympho,0,0.371428571,0,0,0.15,0,0,0.4,0
mw1,0,0.214162754,0,0,0.220501795,0,0,0.258333333,0
optdigits,0,0.000297619,0,0,0.040101523,0,0,0.035315446,0
pc1,0,0.229787234,0,0,0.174877718,0,0,0.237234043,0
pima,0.536686525,0.225507246,0.356464201,0.792319471,0.25483871,0.260869565,0.922438448,0.35971564,0.340632603
satellite,0.235882492,0.464179104,0.68078047,0.89583271,0.535780921,0.508414526,0.690435838,0.660728258,0.654579856
satimage-2,0.337777844,0.217791411,0.08531613,0.89997799,0.078366446,0.08492823,0.541874408,0.217791411,0.116833983
thoracic_surgery,0,0.165811966,0,0,0.299016393,0,0,0.303317536,0
thyroid,0.323587036,0.377919321,0.161038961,0.897638565,0.219339623,0.229658084,0.622881578,0.377919321,0.245006658
vertebral,0.069702561,0,0.098868152,0.942432727,0,0,0.861015051,0.003703704,0
visualizing_livestock,0,0.054054054,0,0,0.311111111,0,0,0.261772784,0
vowels,0.095063167,0.06122449,0.124747271,0.742945349,0.316326531,0.389252313,0.72532015,0.316326531,0.430769231
wbc,0.083412573,0.474576271,0.2195553,0.86285083,0.311111111,0.328125,0.354657271,0.481355932,0.344262295
wine,0.419333031,0.695652174,0.488341813,0.852116757,0.408163265,0.427500257,0.718687491,0.761538462,0.598930481