Filename,DefaultARI,DefaultF1_r,DefaultF1_mat,DefaultF1_sk,UninformedARI,UninformedF1_r,UninformedF1_mat,UninformedF1_sk,InformedARI,InformedF1_r,InformedF1_mat,InformedF1_sk
CastMetal1,0.8443163979205188,0.20834064969271288,0.2456576576576576,0.2696573943351863,0.8974505818315041,0.2058823529411764,0.2666666666666666,0.26752414772480365,0.8537219211433631,0.2979071537290715,0.2773333333333333,0.2696573943351863
CostaMadre1,0.8499861881545513,0.25807794649677257,0.25917471466198416,0.28223920504429717,0.8964665080302474,0.24173822534478268,0.2532923617208077,0.2560625858387052,0.8464947204647203,0.3076923076923076,0.2941176470588235,0.2931137686687558
KnuggetChase3,0.8754914586404753,0.26242424242424234,0.28727272727272724,0.3460875954304316,0.8788991753981472,0.2888215488215488,0.33559322033898303,0.3605492266370288,0.8710338556266694,0.2888215488215488,0.33559322033898303,0.364087129010314
KungChi3,0.8363378618299083,0.34482758620689663,0.3285714285714285,0.4327846597229244,0.8982103319031957,0.34482758620689663,0.4262096774193548,0.4333919843597262,0.8787159819273054,0.34482758620689663,0.43125,0.4451808406647116
MeanWhile1,0.8441574966452938,0.2323937575030012,0.24230769230769225,0.2629881795937056,0.9138971645953089,0.2624615384615384,0.25476923076923075,0.2677654774214152,0.5648251910776866,0.27670588235294113,0.30036630036630035,0.34407893975962434
MegaWatt1,0.854431390308806,0.2428875550220088,0.24999999999999994,0.2646788237043508,0.9300395438969161,0.276156862745098,0.25814479638009047,0.2688212843595751,0.8994780674610405,0.276156862745098,0.25814479638009047,0.2667392474952813
PieChart1,0.6578587555348738,0.1997802197802198,0.2870229007633588,0.29128841750626533,0.9628579806787886,0.28325380595319244,0.2790419161676646,0.28293542908240255,0.7386163685451974,0.24096969696969692,0.2870229007633588,0.29128841750626533
PieChart2,0.6336839800234642,0.09154334038054965,0.12012484394506864,0.10041950282885388,0.8640451922326223,0.09154334038054965,0.08799999999999993,0.08012913221985207,0.7365060487488025,0.11111111111111098,0.12294972193848594,0.11947240818291553
PieChart3,0.6306448149520775,0.07850733861460178,0.20952367888618356,0.18910136052186582,0.939537587834033,0.1581395348837209,0.18237885462555056,0.16434169052564288,0.8529965495910693,0.22039767920847683,0.21900826446280988,0.2540116728034619
PizzaCutter1,0.6877357260108612,0.24934021801491676,0.29007677821237143,0.30002381263475614,0.8248883144846718,0.24934021801491676,0.24025210084033613,0.27993338816313784,0.7543516589930493,0.27339597600467164,0.3036505867014342,0.30002381263475614
PizzaCutter3,0.6505556157342844,0.08591388651268887,0.20624129493694712,0.17924557083652834,0.9131955800905892,0.10471236230110152,0.11403552821542906,0.11767655970629179,0.8343657929099099,0.2226420412958558,0.2679397539032153,0.2572689685555414
analcatdata_apnea1,0.24017183640654594,0.1695452671919822,0.15756317064728273,0.23208043290992614,0.2946254016459709,0.18187084423889746,0.16111111111111104,0.22761194029850743,0.22710686065958008,0.18187084423889746,0.20622690464160373,0.23208043290992614
analcatdata_apnea2,0.231081078218233,0.16557614239300922,0.15688779688779683,0.24461841070075688,0.29213991449245197,0.17110691119398444,0.15495495495495487,0.23747680890538034,0.24049002346600035,0.18365476654562637,0.1621621621621621,0.24461841070075688
analcatdata_apnea3,0.25497841110344593,0.15067783208055863,0.14630303030303024,0.22255932633990838,0.2973892104045857,0.15067783208055863,0.14999999999999997,0.2178217821782178,0.2267069855359621,0.15067783208055863,0.19569983798966,0.22462314047102622
analcatdata_challenger,0.24972035184421437,0.12903225806451607,0.1980952380952381,0.12121212121212119,0.4182209162499893,0.12355816226783964,0.12982456140350873,0.12121212121212119,0.25787136750966166,0.12903225806451607,0.2666666666666666,0.12121212121212119
analcatdata_chlamydia,0.12436285206817967,0.0956659619450317,0.013793103448275858,0.31871004812181286,0.28191422556762363,0.1293246993524514,0.10940803382663841,0.31932773109243706,0.27637705126799245,0.1293246993524514,0.11004731702406116,0.3195983478137018
analcatdata_lawsuit,0.46734438287125535,0.2769230769230769,0.30292929292929294,0.27016145097255106,0.7077946400858565,0.3120780960081163,0.2543689320388349,0.2721689447134695,0.4825771464229451,0.2769230769230769,0.31111111111111117,0.2705942148895896
analcatdata_neavote,0.3274232352869662,0.11111111111111112,0.04705882352941176,0.09470291365015686,0.6928400382723637,0.109009009009009,0.08936170212765956,0.08643904370258737,0.1606649149267738,0.11111111111111112,0.1487179487179487,0.14261691950430022
annthyroid,0.4660919655858024,0.17544007203681616,0.3443319547550524,0.32599900059980164,0.8065199693380222,0.3051328846659245,0.304011462900102,0.32646105413223375,0.747508786506972,0.30838649327666806,0.3443319547550524,0.33116921151583684
appendicitis,0.5699385117398246,0.2926829268292682,0.1749999999999999,0.39631579582187487,0.8740809895341325,0.2926829268292682,0.31363636363636366,0.34809295111039834,0.458141463600014,0.2926829268292682,0.34042553191489366,0.4770789729922454
ar1,0.771014623386853,0.31999999999999995,0.2857142857142857,0.2867501017501017,0.8129819155874921,0.31999999999999995,0.28888888888888886,0.26449653053657496,0.8634061017221363,0.33333333333333337,0.2974358974358974,0.30363341894376367
ar3,0.7870118812380303,0.625,0.5714285714285714,0.6598168214654283,0.8928187988394719,0.625,0.6705882352941174,0.6857843137254902,0.9014022494161548,0.649264705882353,0.6705882352941177,0.6598168214654283
ar4,0.8911825447870921,0.5161290322580644,0.49677419354838703,0.5213978494623654,0.9072829866266771,0.5333333333333333,0.5806451612903227,0.5529508797653959,0.9192104239382033,0.5333333333333333,0.5483870967741936,0.5367069892473119
ar6,0.8052721349130202,0.34729064039408863,0.4,0.3363335437376038,0.9328312362065049,0.34729064039408863,0.33333333333333337,0.3369299221357063,0.8499042363929474,0.36727576382748794,0.4,0.3552709359605911
arsenic-female-bladder,0.4294147000611133,0.2789931350114417,0.2560675381263616,0.2653917280792209,0.4699209400885156,0.2789931350114417,0.2758620689655173,0.27098724109295586,0.4699209400885156,0.2789931350114417,0.2758620689655173,0.27098724109295586
arsenic-female-lung,0.43342692778978104,0.56297371391711,0.40216216216216216,0.19432416145631973,0.4740067456397468,0.5386705399863294,0.5454545454545453,0.19401657147309945,0.4644164705023272,0.56297371391711,0.5464646464646463,0.19432416145631973
arsenic-male-bladder,0.43595272221397624,0.4683523200889135,0.35,0.178894334295276,0.4840548445536868,0.4494623655913978,0.3508860759493671,0.1860332345533285,0.4656177215613042,0.4683523200889135,0.3508860759493671,0.19140708872379963
arsenic-male-lung,0.461935350863266,0.5328673469387756,0.3779198635976129,0.17280686140502038,0.4953699084765785,0.5058823529411764,0.3768115942028985,0.18035416139282207,0.47717776907153947,0.5328673469387756,0.38013640238704177,0.18035416139282207
backache,0.5697277422791835,0.26884779516358465,0.2790697674418604,0.33473444969743227,0.6383048541841556,0.30570048309178743,0.29230769230769227,0.3389922424958624,0.6206849979609695,0.30570048309178743,0.29230769230769227,0.3438423983737211
breastw,0.3788381776399592,0.5684915871992674,0.42880287837176134,0.9368491058740094,0.4887756627269558,0.5918821766095717,0.775,0.9383983777097086,0.48225328284149827,0.5918821766095717,0.7868538324420676,0.9401088010730817
cardio,0.4887691758332032,0.2778186191880882,0.4721152406434944,0.525428643371137,0.8083323463254383,0.3091783088336899,0.3791044776119402,0.35444133426901925,0.7540378175713544,0.5231377623829663,0.49289930939463134,0.5337832660122868
climate-model-simulation-crashes,-0.014854197005632367,0.008333333333333321,0.13077015048443616,0.17310204618968447,0.0587400332299725,0.04797656334863655,0.07686453576864534,0.17538059393809513,0.0809182126909555,0.14537667851161115,0.14331081060977965,0.17679069311628007
datatrieve,0.6226025833960835,0.31754032258064513,0.27499999999999997,0.3021437793892043,0.8210098216369704,0.3115530303030302,0.29999999999999993,0.3077327935222671,0.7723854098334767,0.31754032258064513,0.36,0.3081296873337951
fertility,0.21024642634871185,0.1333333333333333,0.02727272727272727,0.21883883396439835,0.4659692217804159,0.29351916376306614,0.23835450695704777,0.220491452991453,0.44227548333083533,0.29351916376306614,0.24531155474894129,0.22936832491899134
flare,0.37705186467413765,0.24081461515423772,0.22049674283824072,0.2855391570062464,0.4654940486802319,0.24042704626624162,0.22602141684376562,0.2774749351314889,0.45218410901168715,0.24834853284997052,0.22602141684376562,0.2888429712526277
glass,0.9184438267296477,0.0714285714285714,0.09999999999999995,0.09847820931386,0.9409500838542755,0.0714285714285714,0.12666666666666665,0.12005932517612158,0.9428288291926092,0.13747126436781607,0.11999999999999997,0.11721913236929918
ionosphere,0.5303624202653446,0.5753428662331841,0.4288198757763976,0.6879389102766537,0.7578990303129701,0.6066592385207541,0.7053495873654223,0.684932284894286,0.7395117160288623,0.588450745827795,0.7113352423954176,0.7084464572685636
kc3,0.7895447179454161,0.3783227848101266,0.3775280898876404,0.3719037809896283,0.8813649902122429,0.32873563218390806,0.37977528089887636,0.37143225064573376,0.7612853193398278,0.3783227848101266,0.39147945634083675,0.37716618750429465
letter,0.3420419022233978,0.06526610644257698,0.12524463761184418,0.10058856929609394,0.7374176349700843,0.06425136090063054,0.09817143162468177,0.09126737791700881,0.3498808985391149,0.06659335817792311,0.12524463761184418,0.1183773618096186
lungcancer_GSE31210,0.7267673647408742,0.15688687782805427,0.20030248033877793,0.21434607014528884,0.7882639045936095,0.15479734767637093,0.21143375680580756,0.20969471228384143,0.7930851926260596,0.19354136429608124,0.21379310344827585,0.21835484842902245
lympho,0.3986719242518144,0.4707692307692307,0.5714285714285714,0.19600327442256482,0.49915023071103787,0.4565470085470086,0.4317460317460317,0.202861535413344,0.42431115521379215,0.4744615384615384,0.5742857142857143,0.202861535413344
mw1,0.760075119773778,0.2397428404441846,0.283149330767212,0.33128587601783754,0.8111851807733714,0.26389929528982486,0.3194805194805194,0.29470412335053325,0.776260801167572,0.27822115384615376,0.34682159945317836,0.3408667320814571
optdigits,0.1911169689208467,0.0,0.06852892700466144,0.08664444695701876,0.5302659221373663,0.04078637194600112,0.04671532846715328,0.04505865773423031,0.3820963880235044,0.03028093597151097,0.10181772532444562,0.09783319630260891
pc1,0.5995847795419076,0.1946902654867257,0.26836955285015357,0.25807007865945586,0.8196371720567096,0.21160745137151665,0.2585473051121906,0.23941518600497508,0.6953958092328542,0.217562984496124,0.26836955285015357,0.262947574379026
pima,0.5872989247268574,0.1475114160351895,0.2582726659925851,0.3101792664828895,0.7315457504757198,0.1387355632507417,0.13085395906996677,0.19269667140570135,0.6372653675268912,0.37915530036383177,0.40475059382422796,0.40015813185017113
satellite,0.43849825074210447,0.1606858848714973,0.4353280274362759,0.5643193969819814,0.723229272534311,0.21046293631447682,0.25209016987415866,0.22616552425972314,0.7910777872331772,0.47254098146225304,0.552122892829696,0.564643174828716
satimage-2,0.5158753097039018,0.5990263660510858,0.21445182183126638,0.21838285507836303,0.8606783348751867,0.36605495700503704,0.37976462565335883,0.3745341078445412,0.7967484002820607,0.5990263660510858,0.636013986013986,0.5022887860516659
thoracic_surgery,0.5448293786118394,0.11742087972360904,0.1936192160330091,0.28978002235345346,0.8280587968093033,0.24939690038745158,0.2832476875642343,0.309471600766586,0.5737328213812076,0.15282051282051276,0.3187866927592954,0.3216653919769044
thyroid,0.5368506375584433,0.4710071371927042,0.3764097445901193,0.3830519179561543,0.8769714275903499,0.44580686591709356,0.3789236306625595,0.41420456672859285,0.7695992626086771,0.5216138916375883,0.5680257031948217,0.5200767307885545
vertebral,0.8430642716193297,0.0,0.03703703703703699,0.025559258239321307,0.8781686471115092,0.0,0.033403214535289966,0.03638102638102634,0.5435677984659065,0.0,0.03710691823899367,0.0708426034923487
visualizing_livestock,0.05823787928706184,0.1760840974344725,0.04751066856330012,0.2938841312606468,0.2937220130316874,0.14812030075187965,0.15185185185185182,0.32258064516129037,0.25813632756464405,0.18352505325553387,0.18353041695146954,0.3238653819298981
vowels,0.45193537094468755,0.2979124074326473,0.19946624803767657,0.1678589304531586,0.784555186060285,0.17614285060446852,0.1959162303664921,0.18245529502042607,0.44664343903862563,0.3042843357625591,0.218567220702714,0.18436511699424304
wbc,0.8277849298762631,0.5474290780141844,0.48895382817066046,0.5081863857555204,0.9204636962442078,0.5221224489795919,0.5083158630328442,0.5283771434714831,0.8737812866383733,0.5474290780141844,0.5241090146750522,0.520115198486941
wine,0.7348423090138722,0.10527009222661392,0.13913043478260864,0.2541089148152552,0.8703909330299786,0.1904761904761905,0.19999999999999996,0.2667180500658761,0.697892020159268,0.10527009222661392,0.3677339901477832,0.41595246923389295
