Filename,Method,OutlierFraction,NumTrials,BiasCorrection,NumOGKIterations,UnivariateEstimator,ReweightingMethod,NumConcentrationSteps,StartMethod,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
CastMetal1,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CastMetal1,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
CostaMadre1,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KnuggetChase3,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
KungChi3,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MeanWhile1,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
MegaWatt1,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart1,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart2,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PieChart3,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter1,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
PizzaCutter3,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea1,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
